word,trans
ናይ, nay
ኣብ, 'ab
ኣታ, 'ata
ብ, b
ፍቕሪ, fQri
ካብ, kab
ልበየ, lbäyä
ልበይ, lbäy
ኣማኒ, 'amani
ሰብ, säb
ኣምቸ, 'amčä
ከም, käm
ሚእቲ, mi'ti
ኣይ, 'ay
ሽፎን, šfon
ዝኣምና, z'amna
ምስ, ms
እንተ, 'ntä
በዚሑ, bäziħu
ነውሪዩ, näwriyu
ጽብቕቲ, ṣbQti
ንከባበር, nkäbabär
ሃይማኖት, haymanot
ስምዒት, smʕit
ካልእ, kal'
ሽፎነይ, šfonäy
ኩሉ, kulu
ዘለዎ’የ, zäläwo’yä
ዓለም, ʕaläm
ወይ, wäy
ምስ’ዚ, ms’zi
ስኒት, snit
ደሓን, däħan
ኮይኑ, koynu
ወዲ, wädi
ኣዳነይ, 'adanäy
ሰሓቕ, säħaQ
ዋይ, way
ናባኺ, nabaKi
ኢያ, 'iya
ጉሬ, gure
ኣይነበረን, 'aynäbärän
እቲ, 'ti
ኢኺ, 'iKi
ናትክስ, natks
ሽፎነየ, šfonäyä
ኣሎ, 'alo
ሂወት, hiwät
ከፊኡኒ, käfi'uni
ሽማ, šma
መልክዕ, mälkʕ
ክንደይ, kndäy
ክኸውን, kKäwn
ኣፍወርቂ, 'afwärqi
ሓንቲ, ħanti
ዘዝመጻ, zäzmäṣa
ናይሎን, naylon
ማይ, may
ፈትየ, fätyä
በለለይ, bäläläy
ቦታ, bota
ዘትሓትት, zätħatt
ኢሉኒ, 'iluni
ኣምሪሐ, 'amriħä
የብልክን, yäblkn
ጎደሎ, godälo
ዘይከሓድ, zäykäħad
ፍልጠት, flTät
ናትካ, natka
ወይስ, wäys
ሃገር, hagär
እታ, 'ta
ከሰተ, käsätä
ዕድመ, ʕdmä
ብዘይካ, bzäyka
ህዝቢ, hzbi
ማንታ, manta
ቛንቛ, QʷanQʷa
ፈጣሪ, fäTari
ኮፍ, kof
ኣበባ, 'abäba
ግርማ, grma
